DATE,NASDAQCOM
3/17/2014,4279.95
3/18/2014,4333.31
3/19/2014,4307.6
3/20/2014,4319.29
3/21/2014,4276.79
3/24/2014,4226.39
3/25/2014,4234.27
3/26/2014,4173.58
3/27/2014,4151.23
3/28/2014,4155.76
3/31/2014,4198.99
4/1/2014,4268.04
4/2/2014,4276.46
4/3/2014,4237.74
4/4/2014,4127.73
4/7/2014,4079.75
4/8/2014,4112.99
4/9/2014,4183.9
4/10/2014,4054.11
4/11/2014,3999.73
4/14/2014,4022.69
4/15/2014,4034.16
4/16/2014,4086.23
4/17/2014,4095.52
4/18/2014,.
4/21/2014,4121.55
4/22/2014,4161.46
4/23/2014,4126.97
4/24/2014,4148.34
4/25/2014,4075.56
4/28/2014,4074.4
4/29/2014,4103.54
4/30/2014,4114.56
5/1/2014,4127.45
5/2/2014,4123.9
5/5/2014,4138.06
5/6/2014,4080.76
5/7/2014,4067.67
5/8/2014,4051.5
5/9/2014,4071.87
5/12/2014,4143.86
5/13/2014,4130.17
5/14/2014,4100.63
5/15/2014,4069.29
5/16/2014,4090.59
5/19/2014,4125.82
5/20/2014,4096.89
5/21/2014,4131.54
5/22/2014,4154.34
5/23/2014,4185.81
5/26/2014,.
5/27/2014,4237.07
5/28/2014,4225.07
5/29/2014,4247.95
5/30/2014,4242.62
6/2/2014,4237.2
6/3/2014,4234.08
6/4/2014,4251.64
6/5/2014,4296.23
6/6/2014,4321.4
6/9/2014,4336.24
6/10/2014,4338
6/11/2014,4331.93
6/12/2014,4297.63
6/13/2014,4310.65
6/16/2014,4321.11
6/17/2014,4337.23
6/18/2014,4362.84
6/19/2014,4359.33
6/20/2014,4368.04
6/23/2014,4368.68
6/24/2014,4350.36
6/25/2014,4379.76
6/26/2014,4379.05
6/27/2014,4397.93
6/30/2014,4408.18
7/1/2014,4458.65
7/2/2014,4457.73
7/3/2014,4485.93
7/4/2014,.
7/7/2014,4451.53
7/8/2014,4391.46
7/9/2014,4419.03
7/10/2014,4396.2
7/11/2014,4415.49
7/14/2014,4440.42
7/15/2014,4416.39
7/16/2014,4425.97
7/17/2014,4363.45
7/18/2014,4432.15
7/21/2014,4424.7
7/22/2014,4456.02
7/23/2014,4473.7
7/24/2014,4472.11
7/25/2014,4449.56
7/28/2014,4444.91
7/29/2014,4442.7
7/30/2014,4462.9
7/31/2014,4369.77
8/1/2014,4352.64
8/4/2014,4383.89
8/5/2014,4352.84
8/6/2014,4355.05
8/7/2014,4334.97
8/8/2014,4370.9
8/11/2014,4401.33
8/12/2014,4389.25
8/13/2014,4434.13
8/14/2014,4453
8/15/2014,4464.93
8/18/2014,4508.31
8/19/2014,4527.51
8/20/2014,4526.48
8/21/2014,4532.1
8/22/2014,4538.55
8/25/2014,4557.35
8/26/2014,4570.64
8/27/2014,4569.62
8/28/2014,4557.7
8/29/2014,4580.27
9/1/2014,.
9/2/2014,4598.19
9/3/2014,4572.57
9/4/2014,4562.29
9/5/2014,4582.9
9/8/2014,4592.29
9/9/2014,4552.29
9/10/2014,4586.52
9/11/2014,4591.81
9/12/2014,4567.6
9/15/2014,4518.9
9/16/2014,4552.76
9/17/2014,4562.19
9/18/2014,4593.43
9/19/2014,4579.79
9/22/2014,4527.69
9/23/2014,4508.69
9/24/2014,4555.22
9/25/2014,4466.75
9/26/2014,4512.19
9/29/2014,4505.85
9/30/2014,4493.39
10/1/2014,4422.09
10/2/2014,4430.2
10/3/2014,4475.62
10/6/2014,4454.8
10/7/2014,4385.2
10/8/2014,4468.59
10/9/2014,4378.34
10/10/2014,4276.24
10/13/2014,4213.66
10/14/2014,4227.17
10/15/2014,4215.32
10/16/2014,4217.39
10/17/2014,4258.44
10/20/2014,4316.07
10/21/2014,4419.48
10/22/2014,4382.85
10/23/2014,4452.79
10/24/2014,4483.72
10/27/2014,4485.93
10/28/2014,4564.29
10/29/2014,4549.23
10/30/2014,4566.14
10/31/2014,4630.74
11/3/2014,4638.91
11/4/2014,4623.64
11/5/2014,4620.72
11/6/2014,4638.47
11/7/2014,4632.53
11/10/2014,4651.62
11/11/2014,4660.56
11/12/2014,4675.13
11/13/2014,4680.14
11/14/2014,4688.54
11/17/2014,4671
11/18/2014,4702.44
11/19/2014,4675.71
11/20/2014,4701.87
11/21/2014,4712.97
11/24/2014,4754.89
11/25/2014,4758.25
